row ID	Protein IDs	Protein names	id	logFC	P.Value	adj.P.Val
Row0	A0A096LPI6	NA	0	-0.5829585146061689	0.19892406284429656	0.48501298742648447
Row1	A0A0A6YYA0;Q9Y3B3	Transmembrane emp24 domain-containing protein 7	1			
Row2	A0A0A6YYH1;P59780	AP-3 complex subunit sigma-2	2	-0.2602822533161486	0.199294126966624	0.48501298742648447
Row3	A0A0A6YYL6;P18621;O60437	60S ribosomal protein L17	3	0.04958613360553343	0.860353322156653	0.9406838513176398
Row4	A0A0B4J1V8;Q9NQ55	Suppressor of SWI4 1 homolog	4	0.7478738660935882	0.3490511718956253	0.6295466604451304
Row5	A0A0B4J269;Q13509	Tubulin beta-3 chain	5			
Row6	A0A0B4J2E5;Q15269	Periodic tryptophan protein 2 homolog	6	0.18671692664060302	0.6976096992964957	0.8609296957873142
Row7	A0A0J9YWU9;P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824;A0A0C4DH34;A0A087WW49;A0A075B7B6;A0A075B6R2;P0DP07;A0A087WSY4;Q9LKU3	Ig heavy chain V-II region NEWM;Ig heavy chain V-II region ARH-77;Ig heavy chain V-II region WAH	7	0.26592876327607584	0.4221077365899916	0.6918911518036337
Row8	A0A0U1RQV1	NA	8			
Row9	A0A1B0GU03;P07339	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	10	-0.5335255807413581	0.232462388462905	0.5258459545919507
Row10	A0A1W2PNV4	NA	30			
Row11	A0A1W2PQS6;O95989	NA	31			
Row12	A0A1W2PRB8;Q9H0W9;Q9NVC6	Ester hydrolase C11orf54	32	-0.2900242349481239	0.3654439524685366	0.6422669170402623
Row13	A0AVT1	Ubiquitin-like modifier-activating enzyme 6	35	0.1917863035928704	0.33928060334774973	0.6218246232258399
Row14	A0FGR8	Extended synaptotagmin-2	36			
Row15	A1L0T0	Acetolactate synthase-like protein	37	1.7795861213736721	0.020861045515752057	0.1597695732936987
Row16	A3KN83	Protein strawberry notch homolog 1	40			
Row17	A4D1E9	Protein A	41			
Row18	A5YKK6	CCR4-NOT transcription complex subunit 1	42	-0.6095798265041132	0.021986297058889406	0.16429271148871344
Row19	A6NDG6	Phosphoglycolate phosphatase	43	0.06860528194705395	0.6862457050125552	0.8541574401169844
Row20	A6NFQ2;A0A1B0GVM2	TRPM8 channel-associated factor 2	44	0.2538767490936955	0.6229086664988981	0.8207141362034174
Row21	A6NHQ2	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	46	-0.21305611224494925	0.34626340045813103	0.6259458408771603
Row22	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	47	-1.8661447750906177	0.022434168224497588	0.16515128328857076
Row23	A6NJ78	Probable methyltransferase-like protein 15	48	-5.306082680065089	1.1533538931915472E-6	3.095182447910407E-4
Row24	A6NKT7;Q7Z3J3	RanBP2-like and GRIP domain-containing protein 3;RanBP2-like and GRIP domain-containing protein 4	49	0.1432593681724228	0.696283514786614	0.860051342346817
Row25	A8CG34;Q96HA1	Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121	51			
Row26	A8MXV4;REV__Q8L7U7;REV__Q9SKH9	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	55	-0.20568991773334844	0.7340033610007921	0.8786609576943789
Row27	A9UHW6	MIF4G domain-containing protein	58	-5.177627150153906	1.1036823769526037E-6	3.095182447910407E-4
Row28	B0I1T2	Unconventional myosin-Ig;Minor histocompatibility antigen HA-2	59	0.16019511957185273	0.19190286744915605	0.47846052762661206
Row29	B4DLN1;Q9UBX3	Mitochondrial dicarboxylate carrier	62	-0.2983620913654299	0.09533807642982647	0.34745432298870094
Row30	P0CG08;B7ZAQ6	Golgi pH regulator B;Golgi pH regulator A	65			
Row31	C9JAW5;Q9Y241	HIG1 domain family member 1A, mitochondrial	75			
Row32	E7ENX8;P13765;Q94JY4;Q8N5H7	NA	76	0.04122084095128642	0.7988568584604165	0.9119201261311483
Row33	E7EVH7;Q07866;Q9H0B6	Kinesin light chain 1	77	0.6974624554003697	0.08343298881909456	0.32949996937599957
Row34	E9PAV3;Q9BZK3	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	78	-0.30749016475053637	0.05603230958537593	0.27073077397141015
Row35	E9PL57;Q15843;Q86V88	NEDD8	79	-0.25058367253355485	0.057260509195561055	0.27254884891098136
Row36	E9PLD3;E9PRG8	Uncharacterized protein C11orf98	80	-0.3994431086105763	0.08467357004693372	0.3310325805964625
Row37	E9PLN8;Q9BQB6	Vitamin K epoxide reductase complex subunit 1	81	0.19617291652848223	0.27582075674690204	0.5709837825503891
Row38	F5H5P2;P12694	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	172	0.0501533118151265	0.7925635704500026	0.9078958711557655
Row39	F8W031;Q9Y2B0	Protein canopy homolog 2	173	0.16897444567789677	0.562010764754324	0.7915342450165861
Row40	H0YAA0	NA	175			
Row41	H0YC42	NA	176	-0.12698535789236942	0.6622158830677807	0.8388932184149889
Row42	H3BN98;Q15041	NA	177	0.8387559758226182	0.448942616400965	0.7144691100457198
Row43	I3L0E3;Q9Y2R5	28S ribosomal protein S17, mitochondrial	178	0.5079139333407561	0.2765666187833745	0.5721266003143108
Row44	K7EQG2	NA	180			
Row45	K7ERE1;Q8N2U0	Transmembrane protein 256	181			
Row46	L7N2F9;Q15836;P63027	Vesicle-associated membrane protein 3;Vesicle-associated membrane protein 2	182	-0.2510473900810233	0.18044226609572495	0.46270506318559157
Row47	M0QYT0	NA	183	-2.0029380875602527	5.410948631678131E-6	6.143507831043786E-4
Row48	M0QZD8	NA	184	0.3634217300697635	0.06666206620084732	0.29409222667603513
Row49	O00115	Deoxyribonuclease-2-alpha	185	-0.7570732889482734	0.17749978304344785	0.46024170177134216
Row50	O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal	186	-1.0099206731770707	0.0038957855131180686	0.060528204393287044
Row51	O00139;Q8N4N8	Kinesin-like protein KIF2A	187	0.2551742118865121	0.12150916947894573	0.39522740562574304
Row52	O00148	ATP-dependent RNA helicase DDX39A	188	-0.008538861717472201	0.9558552986489333	0.9780536712692031
Row53	O00151	PDZ and LIM domain protein 1	189	-0.05016127798934278	0.6271880579984089	0.8219331382799173
Row54	O00154;Q6ZUV0	Cytosolic acyl coenzyme A thioester hydrolase	190	0.5138654346447673	0.124528935572564	0.39875713875085766
Row55	O00161	Synaptosomal-associated protein 23	191	0.8014751685992785	0.05561317522291423	0.27073077397141015
Row56	O00165	HCLS1-associated protein X-1	192			
Row57	O00170	AH receptor-interacting protein	193	-0.014672933653130826	0.9517406910933217	0.9756758227405543
