row ID	IDs	Majority IDs	names	Gene names	logFc	Pval
Row0	A0A096LPI6	A0A096LPI6	NA	NA	-0.4176422409312259	yuldyul
Row1	A0A0A6YYA0;Q9Y3B3	A0A0A6YYA0;Q9Y3B3	Transmembrane emp24 domain-containing protein 7	TMED7-TICAM2;TMED7	-0.7138321709901803	0.0
Row2	A0A0A6YYH1;P59780	A0A0A6YYH1;P59780	AP-3 complex subunit sigma-2	C15orf38-AP3S2;AP3S2	-0.4176422409312259	0.1
Row3	A0A0A6YYL6;P18621	A0A0A6YYL6;P18621	60S ribosomal protein L17	RPL17-C18orf32;RPL17	-0.510797244352748	0.015598977210217538
Row4	A0A0B4J1V8;Q9NQ55	A0A0B4J1V8;Q9NQ55	Suppressor of SWI4 1 homolog	PPAN-P2RY11;PPAN	afsdg	0.06243074785026462
Row5	A0A0B4J269;Q13509	A0A0B4J269;Q13509	Tubulin beta-3 chain	TUBB3	NA	NA
Row6	A0A0B4J2E5;Q15269	A0A0B4J2E5;Q15269	Periodic tryptophan protein 2 homolog	PWP2	-1.0559695312913817	0.07901962488988311
Row7	A0A0J9YWU9;P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824;A0A0C4DH34;A0A087WW49;A0A075B7B6;A0A075B6R2;P0DP07;A0A087WSY4;Q9LKU3	A0A0J9YWU9;P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824;A0A0C4DH34;A0A087WW49;A0A075B7B6;A0A075B6R2;P0DP07;A0A087WSY4;Q9LKU3	Ig heavy chain V-II region NEWM;Ig heavy chain V-II region ARH-77;Ig heavy chain V-II region WAH	IGHV4-61;IGHV4-28;IGHV4OR15-8;IGHV4-4;IGHV4-31;T32B20.g	-1.0949605500924484	0.001526012443008881
Row8	A0A0U1RQV1	A0A0U1RQV1	NA	NA	NA	NA
Row9	A0A1B0GU03;P07339	A0A1B0GU03;P07339	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	CTSD	-0.5426390279277875	0.2690490344372424
